frame,time_s,side,shoulder_elev,elbow_flex
608,20.2667,right,-73.84,118.55
609,20.3,right,-73.85,119.11
610,20.3333,right,-73.33,119.33
611,20.3667,right,-73.41,119.32
612,20.4,right,-73.27,119.38
613,20.4333,right,-73.05,119.25
614,20.4667,right,-72.71,117.48
615,20.5,right,-72.74,115.15
616,20.5333,right,-71.96,112.95
617,20.5667,right,-70.89,110.18
618,20.6,right,-70.39,107.72
619,20.6333,right,-69.46,102.35
620,20.6667,right,-66.62,99.68
621,20.7,right,-65.53,96.14
622,20.7333,right,-65.24,92.56
623,20.7667,right,-65.06,90.96
624,20.8,right,-65.26,91.55
625,20.8333,right,-66.89,93.63
626,20.8667,right,-67.96,94.17
627,20.9,right,-71.82,92.13
628,20.9333,right,-73.25,93.16
629,20.9667,right,-73.64,98.04
630,21.0,right,-73.1,99.72
631,21.0333,right,-73.33,102.36
632,21.0667,right,-72.76,102.37
633,21.1,right,-72.05,103.7
634,21.1333,right,-70.79,105.2
635,21.1667,right,-70.42,105.66
636,21.2,right,-68.8,107.53
637,21.2333,right,-68.86,107.64
638,21.2667,right,-67.8,107.36
639,21.3,right,-68.2,107.09
640,21.3333,right,-67.75,106.23
641,21.3667,right,-68.28,107.71
642,21.4,right,-69.52,107.39
643,21.4333,right,-69.04,106.23
644,21.4667,right,-69.27,106.54
645,21.5,right,-69.38,106.35
646,21.5333,right,-69.12,105.83
647,21.5667,right,-69.49,105.64
648,21.6,right,-69.46,105.65
649,21.6333,right,-67.83,105.96
650,21.6667,right,-68.05,106.3
651,21.7,right,-69.22,105.68
652,21.7333,right,-69.61,105.76
653,21.7667,right,-69.73,106.21
654,21.8,right,-70.38,105.39
655,21.8333,right,-70.19,106.01
656,21.8667,right,-68.94,105.39
657,21.9,right,-70.39,105.76
658,21.9333,right,-72.69,108.62
659,21.9667,right,-73.23,110.05
660,22.0,right,-73.58,110.46
661,22.0333,right,-73.98,115.29
662,22.0667,right,-74.45,123.4
663,22.1,right,-73.09,126.02
664,22.1333,right,-71.73,128.36
665,22.1667,right,-69.48,127.0
666,22.2,right,-67.68,124.12
667,22.2333,right,-64.88,123.12
668,22.2667,right,-62.17,122.29
669,22.3,right,-57.32,119.34
670,22.3333,right,-54.56,115.78
671,22.3667,right,-54.27,113.59
672,22.4,right,-52.65,109.97
673,22.4333,right,-50.0,109.51
674,22.4667,right,-47.09,102.41
675,22.5,right,-44.52,96.34
676,22.5333,right,-43.48,95.09
677,22.5667,right,-43.81,93.73
678,22.6,right,-42.96,91.3
679,22.6333,right,-40.4,88.03
680,22.6667,right,-36.45,88.23
681,22.7,right,-33.29,90.71
682,22.7333,right,-32.67,88.89
683,22.7667,right,-29.48,86.58
684,22.8,right,-30.01,86.02
685,22.8333,right,-28.74,83.96
686,22.8667,right,-28.98,85.17
687,22.9,right,-28.09,87.18
688,22.9333,right,-28.11,85.44
689,22.9667,right,-29.35,87.22
690,23.0,right,-29.79,88.24
691,23.0333,right,-30.79,89.11
692,23.0667,right,-33.62,90.87
693,23.1,right,-36.83,86.9
694,23.1333,right,-41.05,86.75
695,23.1667,right,-42.8,85.32
696,23.2,right,-46.03,84.97
697,23.2333,right,-50.89,86.04
698,23.2667,right,-49.16,94.53
699,23.3,right,-46.29,101.25
700,23.3333,right,-50.2,100.63
701,23.3667,right,-51.86,98.69
702,23.4,right,-51.81,99.91
703,23.4333,right,-54.59,102.89
704,23.4667,right,-59.05,106.61
705,23.5,right,-61.42,108.45
706,23.5333,right,-62.99,111.4
707,23.5667,right,-69.82,114.12
708,23.6,right,-70.68,115.86
709,23.6333,right,-72.19,115.33
710,23.6667,right,-73.83,115.97
711,23.7,right,-75.54,119.37
712,23.7333,right,-76.02,118.71
713,23.7667,right,-76.4,119.14
714,23.8,right,-78.38,119.89
715,23.8333,right,-79.07,118.96
716,23.8667,right,-78.58,117.89
717,23.9,right,-77.8,118.23
718,23.9333,right,-78.35,118.47
719,23.9667,right,-77.59,118.08
720,24.0,right,-77.39,118.56
721,24.0333,right,-77.38,117.72
722,24.0667,right,-78.54,117.75
723,24.1,right,-78.56,117.7
724,24.1333,right,-78.56,117.91
725,24.1667,right,-78.52,119.42
726,24.2,right,-79.31,120.51
727,24.2333,right,-79.62,121.48
728,24.2667,right,-79.77,121.54
729,24.3,right,-79.43,121.67
730,24.3333,right,-78.02,121.66
731,24.3667,right,-77.77,121.03
732,24.4,right,-77.75,120.96
733,24.4333,right,-76.88,120.46
734,24.4667,right,-75.8,120.82
735,24.5,right,-75.43,120.74
736,24.5333,right,-75.4,121.25
737,24.5667,right,-75.41,120.71
738,24.6,right,-75.56,120.73
739,24.6333,right,-75.7,121.45
740,24.6667,right,-76.83,121.72
741,24.7,right,-76.93,122.52
742,24.7333,right,-76.78,122.37
743,24.7667,right,-78.0,121.51
744,24.8,right,-76.95,119.13
745,24.8333,right,-75.71,117.8
746,24.8667,right,-72.94,115.52
747,24.9,right,-72.57,111.4
748,24.9333,right,-71.65,107.0
749,24.9667,right,-69.37,100.47
750,25.0,right,-70.08,98.74
751,25.0333,right,-71.37,95.47
752,25.0667,right,-72.2,93.03
753,25.1,right,-70.91,90.32
754,25.1333,right,-70.23,87.37
755,25.1667,right,-70.79,88.3
756,25.2,right,-72.18,89.34
757,25.2333,right,-72.08,97.3
758,25.2667,right,-72.18,101.24
759,25.3,right,-71.4,108.43
760,25.3333,right,-71.64,110.95
761,25.3667,right,-73.56,110.71
762,25.4,right,-72.74,109.99
763,25.4333,right,-73.78,109.92
764,25.4667,right,-74.1,110.06
765,25.5,right,-74.19,111.34
766,25.5333,right,-74.55,110.04
767,25.5667,right,-73.85,111.51
768,25.6,right,-72.99,111.93
769,25.6333,right,-72.16,110.26
770,25.6667,right,-71.49,106.93
771,25.7,right,-72.79,109.63
772,25.7333,right,-72.0,107.86
773,25.7667,right,-73.42,109.81
774,25.8,right,-73.22,108.67
775,25.8333,right,-73.28,108.94
776,25.8667,right,-72.8,107.15
777,25.9,right,-74.76,108.96
778,25.9333,right,-73.9,107.66
779,25.9667,right,-73.24,106.85
780,26.0,right,-72.27,105.94
781,26.0333,right,-72.62,105.45
782,26.0667,right,-70.63,106.44
783,26.1,right,-69.49,106.07
784,26.1333,right,-71.25,107.11
785,26.1667,right,-69.72,107.01
786,26.2,right,-69.02,106.68
787,26.2333,right,-68.85,106.55
788,26.2667,right,-68.87,106.24
789,26.3,right,-68.72,105.02
